tessellate;extrude;visibility;PLR_ID;PLR_NAME;BEZ;STAND;GROESSE_M2
-1;0;-1;11501341;Karlshorst Süd;11;01.01.2021;2294021.723
-1;0;-1;7601340;Tirschenreuther Ring Ost;7;01.01.2021;413969.326
-1;0;-1;2500831;Wismarplatz;2;01.01.2021;248988.291
-1;0;-1;12601134;Märkisches Zentrum;12;01.01.2021;1127855.841
-1;0;-1;7601547;Horstwalder Straße;7;01.01.2021;941433.954
-1;0;-1;8301036;Gropiusstadt Mitte;8;01.01.2021;695018.485
-1;0;-1;5200421;Spandauer Straße;5;01.01.2021;720067.571
-1;0;-1;5200418;Isenburger Weg;5;01.01.2021;1284627.903
-1;0;-1;11501238;Rummelsburg;11;01.01.2021;2401515.387
-1;0;-1;7200412;Schöneberger Linse;7;01.01.2021;231294.249
-1;0;-1;7100103;Frobenstraße;7;01.01.2021;342043.539
-1;0;-1;3400618;Rosenthal;3;01.01.2021;1798385.975
-1;0;-1;10200526;Boulevard Kastanienallee;10;01.01.2021;526608.425
-1;0;-1;7300516;Odenwaldstraße;7;01.01.2021;458716.636
-1;0;-1;10100205;Gewerbegebiet Bitterfelder Straße;10;01.01.2021;3601314.587
-1;0;-1;2300315;Lausitzer Platz;2;01.01.2021;350907.658
-1;0;-1;7601548;Wittelsbacherstraße;7;01.01.2021;968261.882
-1;0;-1;10100314;Auersbergstraße;10;01.01.2021;470905.654
-1;0;-1;7601443;Töpchiner Weg;7;01.01.2021;1986689.085
-1;0;-1;3601245;Ostseestraße;3;01.01.2021;966047.252
-1;0;-1;2500832;Traveplatz;2;01.01.2021;369567.495
-1;0;-1;10200630;Cecilienplatz;10;01.01.2021;377288.218
-1;0;-1;2100104;Moritzplatz;2;01.01.2021;380547.712
-1;0;-1;3701554;Teutoburger Platz;3;01.01.2021;548486.697
-1;0;-1;3500933;Weißer See;3;01.01.2021;1055229.992
-1;0;-1;7100204;Barbarossaplatz;7;01.01.2021;515151.482
-1;0;-1;5200420;Staakener Straße;5;01.01.2021;2627506.883
-1;0;-1;8100312;Weichselplatz;8;01.01.2021;515944.623
-1;0;-1;10100103;Wittenberger Straße;10;01.01.2021;686657.51
-1;0;-1;3601451;Anton-Saefkow-Park;3;01.01.2021;546889.645
-1;0;-1;6400736;Düppel;6;01.01.2021;3130515.711
-1;0;-1;1400937;Afrikanische Straße;1;01.01.2021;3674225.411
-1;0;-1;7601339;Tirschenreuther Ring West;7;01.01.2021;453765.631
-1;0;-1;6300632;Schweizer Viertel;6;01.01.2021;3085882.409
-1;0;-1;7601545;Nahariyastraße;7;01.01.2021;900458.165
-1;0;-1;5100103;Mertensstraße;5;01.01.2021;719119.684
-1;0;-1;8100314;Donaustraße;8;01.01.2021;255918.243
